City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Clyde River,CA,2021-05-27 21:10:17,70.4692,-68.5914,28.63,86,97,29.93
1,Bandarbeyla,SO,2021-05-27 21:10:01,9.4942,50.8122,79.32,79,100,22.75
2,Jamestown,US,2021-05-27 21:09:14,42.097,-79.2353,69.12,50,1,4.0
3,Zyryanskoye,RU,2021-05-27 21:16:58,56.8306,86.6258,40.32,86,100,16.49
4,Umm Lajj,SA,2021-05-27 21:05:12,25.0213,37.2685,93.0,34,97,4.65
5,Barrow,US,2021-05-27 21:09:32,71.2906,-156.7887,32.02,80,90,14.97
6,Airai,TL,2021-05-27 21:16:58,-8.9266,125.4092,54.86,88,67,4.07
7,Alice Springs,AU,2021-05-27 21:09:18,-23.7,133.8833,33.35,80,88,5.86
8,Eirunepe,BR,2021-05-27 21:16:58,-6.6603,-69.8736,82.31,73,100,2.28
9,Punta Arenas,CL,2021-05-27 21:09:27,-53.15,-70.9167,33.91,60,0,15.46
10,Lorengau,PG,2021-05-27 21:09:37,-2.0226,147.2712,79.16,85,100,6.42
11,Tuktoyaktuk,CA,2021-05-27 21:09:45,69.4541,-133.0374,30.97,73,100,11.41
12,Georgetown,MY,2021-05-27 21:06:09,5.4112,100.3354,79.9,87,40,3.69
13,Saint-Francois,FR,2021-05-27 21:10:35,46.4154,3.9054,54.84,83,0,3.44
14,Avarua,CK,2021-05-27 21:09:20,-21.2078,-159.775,82.45,83,75,13.8
15,Severo-Kurilsk,RU,2021-05-27 21:09:24,50.6789,156.125,39.49,84,90,9.95
16,Meulaboh,ID,2021-05-27 21:11:10,4.1363,96.1285,76.12,88,97,4.03
17,Rikitea,PF,2021-05-27 21:05:46,-23.1203,-134.9692,71.64,56,58,5.03
18,East London,ZA,2021-05-27 21:09:22,-33.0153,27.9116,64.45,73,56,12.73
19,Yellowknife,CA,2021-05-27 21:09:11,62.456,-114.3525,58.28,41,40,3.0
20,Ati,TD,2021-05-27 21:17:00,13.2154,18.3353,90.9,23,49,3.2
21,Chuy,UY,2021-05-27 21:05:49,-33.6971,-53.4616,59.76,74,0,6.11
22,Torbay,CA,2021-05-27 21:09:45,47.6666,-52.7314,54.88,94,90,25.32
23,Avera,US,2021-05-27 21:17:00,33.194,-82.5271,93.7,30,38,12.75
24,Paragould,US,2021-05-27 21:17:00,36.0584,-90.4973,92.98,48,81,1.99
25,Longyearbyen,SJ,2021-05-27 21:09:32,78.2186,15.6401,30.04,64,40,17.27
26,Kapaa,US,2021-05-27 21:09:43,22.0752,-159.319,82.38,72,40,5.99
27,Brae,GB,2021-05-27 21:10:57,60.3964,-1.353,46.31,87,30,7.74
28,Vilhena,BR,2021-05-27 21:07:28,-12.7406,-60.1458,79.16,59,2,1.66
29,Kopavogur,IS,2021-05-27 21:17:01,64.1123,-21.913,49.71,50,40,12.66
30,New Ulm,US,2021-05-27 21:14:46,44.3125,-94.4605,48.56,94,90,17.27
31,Ushuaia,AR,2021-05-27 21:06:55,-54.8,-68.3,29.86,93,75,24.16
32,Provideniya,RU,2021-05-27 21:09:51,64.3833,-173.3,42.91,61,0,13.42
33,Lagoa,PT,2021-05-27 21:17:01,39.05,-27.9833,58.87,62,99,9.06
34,Hobart,AU,2021-05-27 21:09:14,-42.8794,147.3294,43.92,79,75,3.0
35,Aba,NG,2021-05-27 21:15:42,5.1066,7.3667,76.5,89,25,4.7
36,Omboue,GA,2021-05-27 21:04:11,-1.5746,9.2618,76.17,91,91,5.75
37,Mahibadhoo,MV,2021-05-27 21:12:40,3.7833,72.9667,82.67,77,52,21.72
38,Nanakuli,US,2021-05-27 21:17:02,21.3906,-158.1547,85.03,58,1,3.33
39,Almonte,ES,2021-05-27 21:17:02,37.2647,-6.5167,66.27,70,100,6.73
40,Klyuchi,RU,2021-05-27 21:17:03,52.2667,79.1667,52.14,60,0,12.37
41,Kodiak,US,2021-05-27 21:06:08,57.79,-152.4072,51.31,66,1,6.91
42,Ponta Do Sol,PT,2021-05-27 21:09:59,32.6667,-17.1,66.83,64,57,3.96
43,Halvad,IN,2021-05-27 21:17:03,23.0167,71.1833,84.51,72,7,16.42
44,Ulladulla,AU,2021-05-27 21:17:03,-35.35,150.4667,50.9,65,24,12.41
45,New Norfolk,AU,2021-05-27 21:09:11,-42.7826,147.0587,43.57,74,53,4.0
46,Marawi,PH,2021-05-27 21:07:38,7.9986,124.2928,70.65,91,36,2.89
47,Bambanglipuro,ID,2021-05-27 21:10:55,-7.95,110.2833,64.6,91,18,4.79
48,Kanniyakumari,IN,2021-05-27 21:17:04,8.0833,77.5667,79.47,85,27,20.71
49,Port Alfred,ZA,2021-05-27 21:06:04,-33.5906,26.891,62.04,80,96,13.56
50,Nome,US,2021-05-27 21:07:31,64.5011,-165.4064,59.16,40,1,9.22
51,Norman Wells,CA,2021-05-27 21:07:05,65.282,-126.8329,44.35,71,100,1.12
52,Fortuna Foothills,US,2021-05-27 21:13:15,32.6578,-114.4119,98.55,8,1,1.01
53,Port-Gentil,GA,2021-05-27 21:17:04,-0.7193,8.7815,78.76,83,100,14.18
54,Albany,US,2021-05-27 21:06:10,42.6001,-73.9662,72.81,48,24,12.21
55,Vila Velha,BR,2021-05-27 21:10:26,-20.3297,-40.2925,75.94,88,20,5.75
56,Pala,TD,2021-05-27 21:17:05,9.3642,14.9046,85.23,40,59,6.55
57,Dudinka,RU,2021-05-27 21:14:06,69.4058,86.1778,15.19,95,29,9.28
58,Atuona,PF,2021-05-27 21:09:33,-9.8,-139.0333,79.2,72,12,14.38
59,Touros,BR,2021-05-27 21:17:05,-5.1989,-35.4608,79.7,80,5,14.72
60,Tsiroanomandidy,MG,2021-05-27 21:17:06,-18.7667,46.0333,59.41,73,16,1.5
61,Dikson,RU,2021-05-27 21:05:52,73.5069,80.5464,16.56,99,85,6.91
62,Pangnirtung,CA,2021-05-27 21:06:13,66.1451,-65.7125,33.37,92,74,2.37
63,Bredasdorp,ZA,2021-05-27 21:09:18,-34.5322,20.0403,63.28,70,97,7.25
64,Alofi,NU,2021-05-27 21:09:40,-19.0595,-169.9187,80.49,83,40,6.91
65,Cape Town,ZA,2021-05-27 21:05:10,-33.9258,18.4232,60.89,75,99,7.0
66,Terrace,CA,2021-05-27 21:17:06,54.5163,-128.6035,49.91,87,90,3.44
67,Coahuayana,MX,2021-05-27 21:17:07,18.7333,-103.6833,99.88,43,100,7.61
68,Cadillac,US,2021-05-27 21:17:07,44.2519,-85.4012,46.74,76,90,6.91
69,Thompson,CA,2021-05-27 21:09:28,55.7435,-97.8558,58.75,19,100,9.51
70,Opuwo,NA,2021-05-27 21:17:07,-18.0607,13.84,63.36,37,0,7.54
71,Svelgen,NO,2021-05-27 21:17:07,61.7685,5.2955,60.1,73,8,4.61
72,Pingliang,CN,2021-05-27 21:17:08,35.5392,106.6861,57.78,36,96,3.98
73,Sistranda,NO,2021-05-27 21:16:08,63.7256,8.834,49.96,83,15,17.87
74,Sechura,PE,2021-05-27 21:07:14,-5.5569,-80.8222,77.07,65,44,15.61
75,Qalyub,EG,2021-05-27 21:17:08,30.1792,31.2056,81.75,34,0,6.91
76,Hithadhoo,MV,2021-05-27 21:09:27,-0.6,73.0833,81.97,79,100,17.72
77,Tilichiki,RU,2021-05-27 21:17:09,60.4667,166.1,33.96,95,99,5.37
78,Asyut,EG,2021-05-27 21:17:09,27.181,31.1837,86.36,18,0,9.28
79,Vila Franca Do Campo,PT,2021-05-27 21:12:17,37.7167,-25.4333,61.21,76,49,6.51
80,Butaritari,KI,2021-05-27 21:06:14,3.0707,172.7902,83.43,79,92,21.12
81,Mataura,NZ,2021-05-27 21:09:19,-46.1927,168.8643,43.43,99,100,1.66
82,Cabo San Lucas,MX,2021-05-27 21:12:50,22.8909,-109.9124,99.81,29,20,8.05
83,Broome,US,2021-05-27 21:17:09,42.2506,-75.833,68.18,56,20,4.0
84,Arroyo,ES,2021-05-27 21:17:10,41.6096,-4.7969,71.6,55,0,4.38
85,Esperance,AU,2021-05-27 21:10:36,-33.8667,121.9,57.24,49,8,16.51
86,Hualmay,PE,2021-05-27 21:17:10,-11.0964,-77.6139,69.01,83,23,8.19
87,Codrington,AU,2021-05-27 21:10:45,-38.2667,141.9667,51.69,72,100,11.79
88,Listvyanka,RU,2021-05-27 21:17:10,51.8535,104.8693,47.7,74,95,9.93
89,Hilo,US,2021-05-27 21:05:44,19.7297,-155.09,82.8,68,20,9.22
90,Hervey Bay,AU,2021-05-27 21:17:11,-25.2986,152.8535,57.04,66,0,3.0
91,Ust-Maya,RU,2021-05-27 21:17:11,60.4167,134.5333,47.98,78,94,5.19
92,Vaini,TO,2021-05-27 21:09:23,-21.2,-175.2,77.16,69,20,10.36
93,Mahebourg,MU,2021-05-27 21:07:05,-20.4081,57.7,72.25,87,45,7.52
94,Piacabucu,BR,2021-05-27 21:17:11,-10.4056,-36.4344,76.6,73,41,8.52
95,Batagay,RU,2021-05-27 21:10:58,67.6333,134.6333,56.68,46,68,2.86
96,Catamarca,AR,2021-05-27 21:17:12,-28.4696,-65.7852,75.65,59,68,1.99
97,Saint-Max,FR,2021-05-27 21:17:12,48.7043,6.21,54.95,77,0,3.44
98,Saldanha,ZA,2021-05-27 21:10:43,-33.0117,17.9442,57.43,90,64,10.87
99,Upernavik,GL,2021-05-27 21:05:54,72.7868,-56.1549,34.77,97,75,5.28
100,Port Elizabeth,ZA,2021-05-27 21:09:25,-33.918,25.5701,59.09,73,98,10.27
101,Riacho De Santana,BR,2021-05-27 21:17:13,-13.6092,-42.9389,80.22,40,9,8.63
102,Qaqortoq,GL,2021-05-27 21:11:23,60.7167,-46.0333,55.9,52,28,1.57
103,Puerto Ayora,EC,2021-05-27 21:09:25,-0.7393,-90.3518,82.36,90,51,8.01
104,Vardo,NO,2021-05-27 21:17:13,70.3705,31.1107,39.4,87,75,16.11
105,Havoysund,NO,2021-05-27 21:10:21,70.9963,24.6622,38.28,71,99,22.32
106,Yerbogachen,RU,2021-05-27 21:17:13,61.2767,108.0108,48.24,72,99,1.83
107,Busselton,AU,2021-05-27 21:09:37,-33.65,115.3333,53.1,79,0,9.15
108,Pevek,RU,2021-05-27 21:06:16,69.7008,170.3133,37.35,69,55,1.63
109,Kodinsk,RU,2021-05-27 21:17:14,58.6881,99.1844,36.32,80,41,6.71
110,Kaiyuan,CN,2021-05-27 21:17:14,23.6977,103.3037,66.83,96,84,4.45
111,Pierre,US,2021-05-27 21:17:14,44.3683,-100.351,47.98,87,90,12.66
112,Choya,RU,2021-05-27 21:17:15,52.0108,86.5467,56.86,98,100,10.94
113,Alta Gracia,AR,2021-05-27 21:17:15,-31.6529,-64.4283,71.89,48,24,10.13
114,Grindavik,IS,2021-05-27 21:08:00,63.8424,-22.4338,49.55,57,20,25.34
115,Cockburn Town,TC,2021-05-27 21:10:58,21.4612,-71.1419,79.21,77,8,13.6
116,Bluff,NZ,2021-05-27 21:09:12,-46.6,168.3333,46.54,86,100,7.49
117,Douglas,US,2021-05-27 21:17:15,41.3,-96.167,66.74,78,90,4.0
118,Nikolskoye,RU,2021-05-27 21:09:18,59.7035,30.7861,52.39,99,100,4.72
119,Tiznit,MA,2021-05-27 21:10:29,29.5833,-9.5,63.14,77,60,3.02
120,Nelson Bay,AU,2021-05-27 21:07:17,-32.7167,152.15,49.68,80,13,1.01
121,Leh,IN,2021-05-27 21:17:16,34.1667,77.5833,47.5,33,0,3.51
122,San Patricio,US,2021-05-27 21:09:11,28.017,-97.5169,90.16,64,35,18.28
123,Geraldton,AU,2021-05-27 21:12:21,-28.7667,114.6,66.61,48,90,7.4
124,Saskylakh,RU,2021-05-27 21:06:17,71.9167,114.0833,29.25,82,100,4.43
125,Fare,PF,2021-05-27 21:07:42,-16.7,-151.0167,80.28,69,33,11.05
126,Kletskaya,RU,2021-05-27 21:17:16,49.3145,43.0584,63.46,59,85,7.49
127,Loreto,MX,2021-05-27 21:17:17,22.2667,-101.9667,85.69,17,19,5.37
